Lambda		Rmedia(<x>)	Error	<x²>
0.100000	1.550000	0.031393	3.388000
0.150000	1.972000	0.048469	6.238000
0.200000	2.860000	0.084216	15.272000
0.250000	4.118000	0.132099	34.408000
0.300000	6.241000	0.222735	88.561000
0.350000	13.626000	0.575229	516.556000
0.400000	30.071000	1.338726	2696.453000
0.450000	132.512000	5.271818	45351.490000
0.460000	180.895000	6.412097	73837.995000
0.470000	229.898000	7.198863	104676.722000
0.480000	308.598000	8.324271	164526.218000
0.490000	377.953000	9.177607	227076.947000
0.500000	460.534000	9.370280	299893.708000
0.510000	530.602000	9.404933	369991.252000
0.520000	591.659000	9.027891	431563.189000
0.530000	644.339000	8.667206	490293.213000
0.540000	676.080000	8.441679	528346.110000
0.550000	696.228000	8.521868	557355.666000
0.600000	808.481000	6.102244	690878.911000
0.650000	851.912000	4.730770	748134.238000
0.700000	881.733000	2.656647	784510.859000
0.750000	891.220000	1.996274	798258.200000
0.800000	897.450000	0.898050	806222.996000
0.850000	899.481000	0.024528	809066.671000
0.900000	899.901000	0.009960	809821.909000
0.950000	899.993000	0.002636	809987.407000
